Content,Subgenre,Score
Logo of the channel,News Presenter on screen,3.157894737
Logo of the channel,News presenter and Reporter,3
Logo of the channel,Reporter is reporting,2.894736842
Logo of the channel,In-studio interviews or talk shows,2.842105263
Logo of the channel,Remote Interviews or Talk Shows,2.842105263
Logo of the channel,Emergency Announcement(No Interpreter),3.105263158
Logo of the channel,Emergency Announcement(Interpreter),2.947368421
Logo of the channel,Political Debate,2.947368421
Logo of the channel,Future weather news hour-by-hour,3.052631579
Logo of the channel,City wise current temperature,2.736842105
Logo of the channel,Weekly weather forecast,2.684210526
Logo of the channel, NFL,2.736842105
Logo of the channel, NBA,2.842105263
Logo of the channel, MLB,2.736842105
The Speaker's Eye,News Presenter on screen,4.315789474
The Speaker's Eye,News presenter and Reporter,4.157894737
The Speaker's Eye,Reporter is reporting,4.421052632
The Speaker's Eye,In-studio interviews or talk shows,4.421052632
The Speaker's Eye,Remote Interviews or Talk Shows,4.368421053
The Speaker's Eye,Emergency Announcement(No Interpreter),4.263157895
The Speaker's Eye,Emergency Announcement(Interpreter),4.210526316
The Speaker's Eye,Political Debate,4.368421053
The Speaker's Eye,Future weather news hour-by-hour,4
The Speaker's Eye,City wise current temperature,4
The Speaker's Eye,Weekly weather forecast,3.736842105
The Speaker's Eye, NFL,3.789473684
The Speaker's Eye, NBA,3.789473684
The Speaker's Eye, MLB,3.473684211
The Speaker's Mouth,News Presenter on screen,4.210526316
The Speaker's Mouth,News presenter and Reporter,4
The Speaker's Mouth,Reporter is reporting,4.263157895
The Speaker's Mouth,In-studio interviews or talk shows,4.473684211
The Speaker's Mouth,Remote Interviews or Talk Shows,4.421052632
The Speaker's Mouth,Emergency Announcement(No Interpreter),4.368421053
The Speaker's Mouth,Emergency Announcement(Interpreter),4.105263158
The Speaker's Mouth,Political Debate,4.421052632
The Speaker's Mouth,Future weather news hour-by-hour,3.947368421
The Speaker's Mouth,City wise current temperature,3.894736842
The Speaker's Mouth,Weekly weather forecast,3.631578947
The Speaker's Mouth, NFL,3.842105263
The Speaker's Mouth, NBA,3.631578947
The Speaker's Mouth, MLB,3.368421053
The Listener's Face,News Presenter on screen,
The Listener's Face,News presenter and Reporter,3.894736842
The Listener's Face,Reporter is reporting,
The Listener's Face,In-studio interviews or talk shows,4.210526316
The Listener's Face,Remote Interviews or Talk Shows,4.421052632
The Listener's Face,Emergency Announcement(No Interpreter),3.368421053
The Listener's Face,Emergency Announcement(Interpreter),3.263157895
The Listener's Face,Political Debate,4.105263158
The Listener's Face,Future weather news hour-by-hour,
The Listener's Face,City wise current temperature,
The Listener's Face,Weekly weather forecast,
The Listener's Face, NFL,
The Listener's Face, NBA,
The Listener's Face, MLB,
The Name of News presenter/Announcer/Host,News Presenter on screen,3.578947368
The Name of News presenter/Announcer/Host,News presenter and Reporter,3.684210526
The Name of News presenter/Announcer/Host,Reporter is reporting,3.526315789
The Name of News presenter/Announcer/Host,In-studio interviews or talk shows,3.526315789
The Name of News presenter/Announcer/Host,Remote Interviews or Talk Shows,3.736842105
The Name of News presenter/Announcer/Host,Emergency Announcement(No Interpreter),4.368421053
The Name of News presenter/Announcer/Host,Emergency Announcement(Interpreter),4.210526316
The Name of News presenter/Announcer/Host,Political Debate,4.368421053
The Name of News presenter/Announcer/Host,Future weather news hour-by-hour,2.842105263
The Name of News presenter/Announcer/Host,City wise current temperature,2.736842105
The Name of News presenter/Announcer/Host,Weekly weather forecast,2.842105263
The Name of News presenter/Announcer/Host, NFL,3.684210526
The Name of News presenter/Announcer/Host, NBA,3.157894737
The Name of News presenter/Announcer/Host, MLB,3.105263158
The SN handle of News presenter/Announcer/Host,News Presenter on screen,2.789473684
The SN handle of News presenter/Announcer/Host,News presenter and Reporter,2.736842105
The SN handle of News presenter/Announcer/Host,Reporter is reporting,2.631578947
The SN handle of News presenter/Announcer/Host,In-studio interviews or talk shows,2.578947368
The SN handle of News presenter/Announcer/Host,Remote Interviews or Talk Shows,2.736842105
The SN handle of News presenter/Announcer/Host,Emergency Announcement(No Interpreter),
The SN handle of News presenter/Announcer/Host,Emergency Announcement(Interpreter),
The SN handle of News presenter/Announcer/Host,Political Debate,
The SN handle of News presenter/Announcer/Host,Future weather news hour-by-hour,
The SN handle of News presenter/Announcer/Host,City wise current temperature,
The SN handle of News presenter/Announcer/Host,Weekly weather forecast,
The SN handle of News presenter/Announcer/Host, NFL,2.842105263
The SN handle of News presenter/Announcer/Host, NBA,2.421052632
The SN handle of News presenter/Announcer/Host, MLB,2.421052632
Topic of discussion or current story text,News Presenter on screen,4.473684211
Topic of discussion or current story text,News presenter and Reporter,4.526315789
Topic of discussion or current story text,Reporter is reporting,4.578947368
Topic of discussion or current story text,In-studio interviews or talk shows,4.526315789
Topic of discussion or current story text,Remote Interviews or Talk Shows,4.368421053
Topic of discussion or current story text,Emergency Announcement(No Interpreter),4.684210526
Topic of discussion or current story text,Emergency Announcement(Interpreter),4.368421053
Topic of discussion or current story text,Political Debate,4.578947368
Topic of discussion or current story text,Future weather news hour-by-hour,
Topic of discussion or current story text,City wise current temperature,
Topic of discussion or current story text,Weekly weather forecast,
Topic of discussion or current story text, NFL,
Topic of discussion or current story text, NBA,
Topic of discussion or current story text, MLB,
Title of News presenter/Announcer/Host,News Presenter on screen,3.421052632
Title of News presenter/Announcer/Host,News presenter and Reporter,3.368421053
Title of News presenter/Announcer/Host,Reporter is reporting,3.263157895
Title of News presenter/Announcer/Host,In-studio interviews or talk shows,3.263157895
Title of News presenter/Announcer/Host,Remote Interviews or Talk Shows,3.736842105
Title of News presenter/Announcer/Host,Emergency Announcement(No Interpreter),4.210526316
Title of News presenter/Announcer/Host,Emergency Announcement(Interpreter),4.684210526
Title of News presenter/Announcer/Host,Political Debate,3.842105263
Title of News presenter/Announcer/Host,Future weather news hour-by-hour,2.631578947
Title of News presenter/Announcer/Host,City wise current temperature,2.526315789
Title of News presenter/Announcer/Host,Weekly weather forecast,2.526315789
Title of News presenter/Announcer/Host, NFL,
Title of News presenter/Announcer/Host, NBA,
Title of News presenter/Announcer/Host, MLB,
The location name of Presenter/Announcer/Host,News Presenter on screen,
The location name of Presenter/Announcer/Host,News presenter and Reporter,3.947368421
The location name of Presenter/Announcer/Host,Reporter is reporting,4.105263158
The location name of Presenter/Announcer/Host,In-studio interviews or talk shows,3.157894737
The location name of Presenter/Announcer/Host,Remote Interviews or Talk Shows,3.473684211
The location name of Presenter/Announcer/Host,Emergency Announcement(No Interpreter),
The location name of Presenter/Announcer/Host,Emergency Announcement(Interpreter),
The location name of Presenter/Announcer/Host,Political Debate,
The location name of Presenter/Announcer/Host,Future weather news hour-by-hour,
The location name of Presenter/Announcer/Host,City wise current temperature,
The location name of Presenter/Announcer/Host,Weekly weather forecast,
The location name of Presenter/Announcer/Host, NFL,
The location name of Presenter/Announcer/Host, NBA,
The location name of Presenter/Announcer/Host, MLB,
time and temperature,News Presenter on screen,2.842105263
time and temperature,News presenter and Reporter,2.526315789
time and temperature,Reporter is reporting,2.421052632
time and temperature,In-studio interviews or talk shows,
time and temperature,Remote Interviews or Talk Shows,
time and temperature,Emergency Announcement(No Interpreter),
time and temperature,Emergency Announcement(Interpreter),
time and temperature,Political Debate,
time and temperature,Future weather news hour-by-hour,3.947368421
time and temperature,City wise current temperature,3.894736842
time and temperature,Weekly weather forecast,3.947368421
time and temperature, NFL,
time and temperature, NBA,
time and temperature, MLB,
The name of Remote Reporter/Guest,News Presenter on screen,
The name of Remote Reporter/Guest,News presenter and Reporter,3.631578947
The name of Remote Reporter/Guest,Reporter is reporting,
The name of Remote Reporter/Guest,In-studio interviews or talk shows,4.157894737
The name of Remote Reporter/Guest,Remote Interviews or Talk Shows,4.052631579
The name of Remote Reporter/Guest,Emergency Announcement(No Interpreter),
The name of Remote Reporter/Guest,Emergency Announcement(Interpreter),
The name of Remote Reporter/Guest,Political Debate,
The name of Remote Reporter/Guest,Future weather news hour-by-hour,
The name of Remote Reporter/Guest,City wise current temperature,
The name of Remote Reporter/Guest,Weekly weather forecast,
The name of Remote Reporter/Guest, NFL,
The name of Remote Reporter/Guest, NBA,
The name of Remote Reporter/Guest, MLB,
The title of Remote Reporter/Guest,News Presenter on screen,
The title of Remote Reporter/Guest,News presenter and Reporter,3.263157895
The title of Remote Reporter/Guest,Reporter is reporting,
The title of Remote Reporter/Guest,In-studio interviews or talk shows,3.736842105
The title of Remote Reporter/Guest,Remote Interviews or Talk Shows,3.736842105
The title of Remote Reporter/Guest,Emergency Announcement(No Interpreter),
The title of Remote Reporter/Guest,Emergency Announcement(Interpreter),
The title of Remote Reporter/Guest,Political Debate,
The title of Remote Reporter/Guest,Future weather news hour-by-hour,
The title of Remote Reporter/Guest,City wise current temperature,
The title of Remote Reporter/Guest,Weekly weather forecast,
The title of Remote Reporter/Guest, NFL,
The title of Remote Reporter/Guest, NBA,
The title of Remote Reporter/Guest, MLB,
Title/Topic of TV program/Announcement,News Presenter on screen,
Title/Topic of TV program/Announcement,News presenter and Reporter,
Title/Topic of TV program/Announcement,Reporter is reporting,
Title/Topic of TV program/Announcement,In-studio interviews or talk shows,3.631578947
Title/Topic of TV program/Announcement,Remote Interviews or Talk Shows,3.947368421
